TIME,feed,faecal_1,faecal_2,faecal_3
18/05/2021 10:01,0,0,0,0
18/05/2021 14:59,0,0,0,0
18/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
18/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
18/05/2021 18:01,0,0,0,0
19/05/2021 00:01,0,0,0,0
19/05/2021 06:59,0,0,0,0
19/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
19/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
19/05/2021 10:01,0,0,0,0
19/05/2021 14:59,0,0,0,0
19/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
19/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
19/05/2021 18:01,0,0,0,0
20/05/2021 00:01,0,0,0,0
20/05/2021 06:59,0,0,0,0
20/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
20/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
20/05/2021 10:01,0,0,0,0
20/05/2021 14:59,0,0,0,0
20/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
20/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
20/05/2021 18:01,0,0,0,0
21/05/2021 00:01,0,0,0,0
21/05/2021 06:59,0,0,0,0
21/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
21/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
21/05/2021 10:01,0,0,0,0
21/05/2021 14:59,0,0,0,0
21/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
21/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
21/05/2021 18:01,0,0,0,0
22/05/2021 00:01,0,0,0,0
22/05/2021 06:59,0,0,0,0
22/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
22/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
22/05/2021 10:01,0,0,0,0
22/05/2021 14:59,0,0,0,0
22/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
22/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
22/05/2021 18:01,0,0,0,0
23/05/2021 00:01,0,0,0,0
23/05/2021 06:59,0,0,0,0
23/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
23/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
23/05/2021 10:01,0,0,0,0
23/05/2021 14:59,0,0,0,0
23/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
23/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
23/05/2021 18:01,0,0,0,0
24/05/2021 00:01,0,0,0,0
24/05/2021 06:59,0,0,0,0
24/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
24/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
24/05/2021 10:01,0,0,0,0
24/05/2021 14:59,0,0,0,0
24/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
24/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
24/05/2021 18:01,0,0,0,0
25/05/2021 00:01,0,0,0,0
25/05/2021 06:59,0,0,0,0
25/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
25/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
25/05/2021 10:01,0,0,0,0
25/05/2021 14:59,0,0,0,0
25/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
25/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
25/05/2021 18:01,0,0,0,0
26/05/2021 00:01,0,0,0,0
26/05/2021 06:59,0,0,0,0
26/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
26/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
26/05/2021 10:01,0,0,0,0
26/05/2021 14:59,0,0,0,0
26/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
26/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
26/05/2021 18:01,0,0,0,0
27/05/2021 00:01,0,0,0,0
27/05/2021 06:59,0,0,0,0
27/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
27/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
27/05/2021 10:01,0,0,0,0
27/05/2021 14:59,0,0,0,0
27/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
27/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
27/05/2021 18:01,0,0,0,0
28/05/2021 00:01,0,0,0,0
28/05/2021 06:59,0,0,0,0
28/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
28/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
28/05/2021 10:01,0,0,0,0
28/05/2021 14:59,0,0,0,0
28/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
28/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
28/05/2021 18:01,0,0,0,0
29/05/2021 00:01,0,0,0,0
29/05/2021 06:59,0,0,0,0
29/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
29/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
29/05/2021 10:01,0,0,0,0
